Symbol,Stock Price,Market Cap,Company Name,Analysts,PT Upside (%),Rev. Growth,Rev. Growth 5Y,Rev. Growth 3Y,Rev Gr. Next Y,Z-Score,ROA,ROA (5Y),ROIC,ROIC (5Y),Oper. Margin
RNST,38.4199,2484147282,Renasant Corporation,6,13.57%,8.74%,2.90%,1.26%,19.78%,,1.00%,0.96%,5.59%,5.07%,32.96%
STRA,100.353,2471435946,"Strategic Education, Inc.",5,22.41%,10.09%,4.42%,2.43%,4.97%,4.16,5.90%,3.36%,6.63%,3.47%,14.35%
CSAN,5.085,618224694,Cosan S.A.,1,271.46%,3.53%,19.91%,12.86%,1.81%,0.71,1.60%,,9.54%,7.73%,18.26%
RNW,6.725,2525465012,ReNew Energy Global Plc,1,18.78%,3.17%,,16.35%,30.03%,0.32,0.20%,,1.64%,6.63%,56.47%
PII,43.69,2475643617,Polaris Inc.,13,42.84%,-14.81%,2.93%,3.03%,5.05%,2.09,3.60%,7.62%,8.52%,15.65%,4.77%
YY,45.245,2461088310,JOYY Inc.,3,-22.60%,-1.94%,34.06%,-3.64%,1.88%,1.53,2.40%,5.56%,0.36%,-3.23%,0.89%
MIRM,50.71,2407910656,"Mirum Pharmaceuticals, Inc.",11,12.38%,112.14%,,167.72%,26.65%,2.55,-15.20%,-42.16%,-17.46%,-44.39%,-31.26%
WSBC,36.37,2481386147,"WesBanco, Inc.",5,14.21%,-4.80%,2.76%,-4.60%,11.42%,,0.70%,1.06%,3.11%,4.73%,29.40%
PPBI,25.22,2513242036,"Pacific Premier Bancorp, Inc.",6,7.06%,-47.81%,-4.48%,-22.52%,3.81%,,-0.10%,0.96%,-0.75%,4.87%,-6.32%
FLOC,26.855,594204876,Flowco Holdings Inc.,4,25.16%,63.73%,,,,1.33,15.30%,,20.79%,,32.19%
MCW,7.545,2421708630,"Mister Car Wash, Inc.",7,18.28%,6.85%,,10.13%,8.28%,1.24,2.50%,,4.52%,4.93%,18.90%
KLC,20.61,2402967420,"KinderCare Learning Companies, Inc.",8,54.43%,43.10%,,,7.37%,1.31,,,5.32%,4.17%,8.57%
AMRX,7.845,3640252719,"Amneal Pharmaceuticals, Inc.",5,27.55%,12.32%,9.20%,9.05%,3.82%,1.39,-5.30%,-2.42%,,29.83%,6.46%
TRIP,17.415,2483662928,"Tripadvisor, Inc.",14,2.15%,3.54%,2.91%,32.66%,5.96%,2.13,1.30%,-2.64%,2.01%,-3.61%,6.78%
WAFD,29.74,2448170026,"WaFd, Inc.",5,12.09%,5.62%,5.03%,7.90%,9.68%,,0.60%,0.96%,3.53%,4.20%,36.96%
FBK,51.915,2432028652,FB Financial Corporation,5,-3.44%,-10.49%,5.07%,-11.60%,8.78%,,0.80%,1.12%,5.96%,7.26%,30.36%
AIR,68.375,2444713629,AAR Corp.,4,19.02%,18.53%,3.22%,13.92%,6.37%,2.76,0.40%,2.98%,1.31%,4.79%,3.99%
ZIM,19.97,2422926683,ZIM Integrated Shipping Services Ltd.,5,-26.20%,21.47%,,-4.69%,-17.15%,1.79,15.10%,20.22%,18.35%,23.51%,24.40%
AMR,184.65,2416290240,"Alpha Metallurgical Resources, Inc.",2,82.02%,-1.05%,6.91%,23.45%,-0.88%,5.23,14.90%,15.58%,23.23%,29.90%,13.07%
ATKR,69.18,2394321514,Atkore Inc.,6,48.48%,-12.01%,9.90%,-2.01%,4.16%,3.49,12.70%,23.98%,16.78%,29.38%,16.88%
TDC,25.055,2956173000,Teradata Corporation,11,31.26%,-1.64%,-2.04%,-2.38%,-3.44%,0.88,4.80%,3.36%,15.89%,7.79%,12.07%
LGF.A,9.965,2221258496,Lions Gate Entertainment Corp.,4,17.38%,4.21%,1.76%,7.08%,6.49%,-0.80,-15.80%,-9.16%,-23.52%,-12.01%,-24.04%
CRTO,44.145,2349940985,Criteo S.A.,11,20.75%,-0.05%,-3.10%,-4.89%,8.53%,2.79,4.50%,3.84%,9.11%,6.00%,7.46%
HI,33.99,2414715516,"Hillenbrand, Inc.",2,7.37%,5.87%,9.67%,13.80%,4.10%,1.36,-4.20%,3.54%,-1.13%,4.55%,-1.24%
DIOD,51.65,2362051242,Diodes Incorporated,3,27.17%,-29.46%,0.50%,-8.24%,10.76%,4.91,2.60%,10.02%,2.63%,13.19%,4.58%
HSAI,18.69,2257276528,Hesai Group,,,11.22%,,66.52%,61.44%,5.25,-6.90%,,-10.80%,17.64%,-24.08%
SEM,18.45,2457283660,Select Medical Holdings Corporation,4,99.89%,5.80%,5.45%,4.51%,-10.99%,1.58,3.50%,3.22%,6.74%,6.76%,8.71%
NGD,3.04,2384563500,New Gold Inc.,4,,14.85%,5.83%,5.11%,34.38%,0.23,0.90%,-1.28%,7.30%,3.62%,12.25%
MESO,18.27,2316456452,Mesoblast Limited,4,-2.45%,-22.92%,-18.36%,-28.94%,318.31%,5.17,-13.10%,-12.72%,-9.38%,-12.21%,-952.63%
IVT,30.655,2359804588,InvenTrust Properties Corp.,4,3.56%,5.62%,3.12%,8.46%,11.13%,,0.30%,0.64%,1.75%,1.02%,16.31%
SIG,54.53,2388112774,Signet Jewelers Limited,4,65.51%,-6.69%,2.21%,-1.66%,1.39%,2.89,7.90%,5.96%,17.47%,13.61%,5.47%
IBRX,3.245,2362083775,"ImmunityBio, Inc.",3,321.08%,1218.71%,182.15%,164.33%,808.10%,-15.07,-137.20%,-120.30%,-132.70%,-117.89%,-4912.32%
RPD,37.48,2397426338,"Rapid7, Inc.",18,18.77%,10.05%,22.33%,18.79%,5.36%,0.78,3.10%,-10.54%,3.54%,-13.06%,5.08%
MTX,74.23,2347964981,Minerals Technologies Inc.,2,33.42%,-1.31%,3.39%,5.43%,4.64%,2.99,4.60%,3.78%,8.29%,6.62%,14.08%
PAGS,7.585,2537984880,PagSeguro Digital Ltd.,12,77.16%,15.92%,27.42%,24.71%,12.64%,1.29,3.20%,5.88%,10.30%,19.34%,32.44%
CNTA,17.945,2272436101,Centessa Pharmaceuticals plc,8,28.60%,,,,,10.59,-38.00%,,-27.47%,-64.30%,-2338.39%
ROIC,17.495,2255507885,Retail Opportunity Investments Corp.,6,-9.97%,4.18%,2.58%,5.82%,0.97%,,2.00%,1.50%,4.23%,3.85%,34.07%
ODD,41.315,2360806673,Oddity Tech Ltd.,9,29.32%,29.59%,,,20.14%,12.63,20.90%,,24.16%,,19.01%
BANR,68.38,2419021800,Banner Corporation,6,7.94%,-5.08%,1.86%,-1.44%,6.35%,,1.00%,1.12%,6.98%,7.63%,34.50%
GT,8.255,2350590000,The Goodyear Tire & Rubber Company,3,61.70%,-6.28%,5.02%,5.81%,-2.13%,1.34,-1.40%,-1.52%,,-0.42%,1.54%
CWH,23.48,1444820571,"Camping World Holdings, Inc.",6,16.00%,-6.14%,4.11%,-3.44%,7.73%,1.78,-0.50%,2.56%,,9.11%,2.53%
CCU,12.81,2361124170,Compañía Cervecerías Unidas S.A.,2,-24.28%,-5.38%,44.46%,38.32%,6.33%,2.33,3.40%,5.04%,47.35%,25.07%,18.51%
BHC,6.365,2342907658,Bausch Health Companies Inc.,5,12.76%,10.91%,2.20%,3.88%,3.66%,0.10,-0.70%,-2.70%,,2.16%,14.25%
BBAI,9.2799,2012432000,"BigBear.ai Holdings, Inc.",4,-51.27%,0.01%,,11.40%,16.32%,2.06,-52.70%,,-43.85%,,-86.17%
VSH,17.175,2320801012,"Vishay Intertechnology, Inc.",3,27.98%,-13.36%,1.20%,-0.62%,13.91%,2.23,2.10%,7.48%,2.88%,11.65%,4.66%
PSNY,1.105,2359372847,Polestar Automotive Holding UK PLC,8,26.36%,-22.24%,,,69.12%,1.76,-34.60%,,-25.14%,,-71.63%
HNI,48.64,2359605440,HNI Corporation,1,29.35%,10.36%,2.84%,6.15%,2.73%,,6.40%,5.12%,11.16%,8.35%,7.12%
AGYS,83.87,2348137080,"Agilysys, Inc.",5,64.54%,15.53%,10.82%,20.03%,20.76%,8.86,5.60%,0.46%,5.79%,-4.20%,7.88%
CXM,9.13,2286904275,"Sprinklr, Inc.",15,8.09%,12.02%,,19.58%,3.49%,3.25,4.10%,,4.31%,25.06%,4.06%
DAN,16.005,2367507070,Dana Incorporated,8,11.03%,-1.63%,3.95%,5.95%,-4.69%,1.93,-0.20%,0.54%,-0.80%,0.16%,2.58%
HWKN,110.865,2348024510,"Hawkins, Inc.",1,9.73%,3.01%,11.98%,10.04%,6.29%,8.57,11.90%,9.80%,14.51%,12.33%,12.04%
RUM,10.84,6198494333,Rumble Inc.,3,27.85%,6.36%,,135.87%,21.18%,70.27,-51.40%,,-84.87%,,-166.69%
TMDX,69.08,2285873765,"TransMedics Group, Inc.",11,68.40%,109.09%,80.23%,142.23%,22.52%,2.90,4.40%,-22.02%,4.32%,-20.88%,7.84%
HCM,13.07,2247859237,HUTCHMED (China) Limited,1,45.26%,-19.34%,20.73%,43.98%,18.76%,2.74,-3.30%,-16.54%,-14.69%,-35.52%,-19.78%
MLCO,5.5,2216064660,Melco Resorts & Entertainment Limited,6,41.08%,50.42%,-4.44%,30.15%,4.74%,0.21,-1.80%,-6.72%,,-3.87%,6.46%
TRMK,37.835,2353078560,Trustmark Corporation,6,0.85%,-25.25%,-2.59%,-8.94%,3.88%,,1.10%,0.86%,0.59%,5.70%,3.25%
NVCR,21.3,2256531855,NovoCure Limited,5,57.18%,14.63%,12.42%,1.92%,2.83%,0.72,-12.70%,-5.92%,-15.33%,-6.83%,-27.51%
LMND,32.23,2344209735,"Lemonade, Inc.",7,4.25%,22.47%,,65.96%,26.88%,,-12.60%,-21.48%,-31.15%,-10.52%,-41.71%
INTR,5.215,2069270452,"Inter & Co, Inc.",4,35.89%,34.67%,,42.29%,17.58%,,1.30%,,4.65%,1.09%,30.77%
SXI,192.19,2308231400,Standex International Corporation,3,20.36%,-2.46%,2.36%,0.36%,13.11%,3.64,4.80%,6.76%,5.16%,8.64%,11.36%
ARWR,18.105,2220045750,"Arrowhead Pharmaceuticals, Inc.",11,140.06%,-98.62%,-56.67%,-74.13%,124.29%,-2.45,-64.10%,-30.50%,-108.32%,-46.04%,-25037.88%
LU,2.6289,2559210216,Lufax Holding Ltd,2,13.36%,-36.20%,,-24.67%,1.48%,,-1.50%,4.82%,-1.13%,11.10%,-5.92%
NBTB,48.21,2318061564,NBT Bancorp Inc.,4,5.32%,11.21%,5.24%,4.03%,12.39%,,1.00%,1.16%,6.83%,7.24%,31.96%
CENTA,33.165,2246433235,Central Garden & Pet Company,5,24.85%,1.49%,7.58%,2.89%,2.19%,2.63,4.30%,4.74%,6.32%,7.22%,7.08%
OSW,21.83,2256419798,OneSpaWorld Holdings Limited,4,-4.99%,13.60%,,141.17%,8.62%,8.03,6.90%,-7.80%,10.61%,-5.37%,8.42%
SPNT,14.01,2282324700,SiriusPoint Ltd.,,,-4.64%,32.11%,6.72%,,,2.30%,1.86%,13.15%,4.68%,12.73%
ENR,31.36,2250221523,"Energizer Holdings, Inc.",8,22.58%,-0.31%,1.76%,-1.31%,1.43%,1.33,1.40%,0.02%,5.33%,5.37%,7.87%
JBLU,6.5201,2202668950,JetBlue Airways Corporation,13,-2.67%,-3.90%,3.04%,24.22%,-0.59%,0.70,-5.90%,-2.30%,-6.68%,-3.51%,-8.22%
EFSC,61.1,2294126762,Enterprise Financial Services Corp,3,10.20%,0.68%,17.83%,17.48%,2.14%,,1.20%,1.24%,7.84%,7.15%,37.42%
STNG,47.78,2589627370,Scorpio Tankers Inc.,4,52.55%,-8.17%,16.18%,37.35%,-15.89%,3.14,17.70%,4.48%,22.23%,9.66%,60.42%
ZGN,8.93,2203591680,Ermenegildo Zegna N.V.,2,-9.75%,17.68%,,,4.20%,,3.70%,,6.59%,1.64%,8.10%
CLOV,4.485,2224922912,"Clover Health Investments, Corp.",2,11.24%,-16.38%,39.66%,8.59%,13.05%,1.80,-14.20%,-53.78%,-26.01%,-44.35%,-5.82%
ALG,186.3,2262474760,Alamo Group Inc.,3,24.22%,0.12%,9.09%,8.91%,0.72%,5.87,8.10%,7.08%,10.83%,9.36%,10.55%
ZD,52.565,2319997764,"Ziff Davis, Inc.",8,33.78%,0.58%,0.99%,6.34%,5.56%,1.99,1.70%,5.60%,2.68%,3.76%,8.40%
COCO,39.5884,2236372957,"The Vita Coco Company, Inc.",5,-12.41%,3.21%,,10.94%,11.53%,16.79,19.00%,,22.89%,14.08%,15.15%
VTMX,26.55,228108300,"Corporación Inmobiliaria Vesta, S.A.B. de C.V.",2,26.23%,18.93%,,,18.92%,1.09,10.30%,,4.76%,,77.12%
IBTA,72.96,1999911104,"Ibotta, Inc.",10,22.26%,,,,16.57%,,,,,,
SHO,11.105,2262145260,"Sunstone Hotel Investors, Inc.",7,6.80%,-10.00%,-4.11%,34.68%,9.53%,,4.90%,-0.04%,7.11%,1.31%,23.30%
RAMP,33.9181,2214162769,"LiveRamp Holdings, Inc.",7,20.46%,14.50%,15.59%,12.92%,8.61%,7.01,,-5.58%,0.00%,-9.43%,0.36%
SOC,24.94,2213241516,Sable Offshore Corp.,3,0.28%,,,,606.07%,,,,,,
BEAM,27.91,2223330360,Beam Therapeutics Inc.,10,75.58%,328.73%,681.43%,664.99%,14.62%,2.44,-10.90%,-36.02%,-19.16%,-17.20%,-52.25%
LGF.B,8.815,2221253376,Lions Gate Entertainment Corp.,4,18.71%,-2.84%,0.06%,2.92%,6.49%,-0.36,-4.00%,-9.16%,-2.60%,-12.01%,-2.91%
MYRG,137.74,2237074844,MYR Group Inc.,5,17.90%,0.94%,12.69%,12.86%,2.93%,4.27,2.40%,6.12%,5.87%,12.51%,1.73%
VC,80.39,2241273735,Visteon Corporation,14,55.78%,-2.76%,5.96%,12.19%,1.70%,4.01,18.70%,5.58%,33.54%,11.32%,7.40%
CERT,13.765,2231293680,"Certara, Inc.",7,15.87%,5.62%,17.89%,10.62%,9.94%,3.01,-2.00%,-1.76%,-1.19%,-0.03%,-4.35%
SYBT,75.255,2279484250,"Stock Yards Bancorp, Inc.",4,-13.37%,0.52%,14.41%,14.64%,5.94%,,1.30%,1.44%,7.40%,10.30%,40.83%
KAR,20.7,2207931260,"OPENLANE, Inc.",5,4.35%,3.76%,-9.00%,30.37%,4.73%,1.20,1.50%,,10.01%,3.53%,15.16%
KYMR,34.07,2228573973,"Kymera Therapeutics, Inc.",15,62.32%,86.92%,,7.57%,32.89%,8.63,-20.30%,-28.00%,-20.40%,-4.67%,-228.63%
WLYB,40.21,2179732993,"John Wiley & Sons, Inc.",,,-7.27%,0.80%,-1.19%,1.13%,1.81,-7.20%,,,3.36%,2.79%
CCS,71.16,2281530828,"Century Communities, Inc.",4,45.74%,19.12%,11.64%,1.42%,7.56%,,7.50%,10.34%,8.10%,11.23%,9.95%
TDOC,12.745,2245057680,"Teladoc Health, Inc.",20,-5.14%,0.39%,37.89%,11.63%,-0.88%,-5.68,-24.90%,-38.84%,-32.66%,-73.61%,-38.92%
LMAT,97.45,2179598960,"LeMaitre Vascular, Inc.",6,-4.87%,14.81%,13.03%,11.79%,9.62%,30.64,11.50%,9.08%,10.83%,9.40%,23.29%
PTGX,36.73,2204530020,"Protagonist Therapeutics, Inc.",8,55.20%,,,136.78%,-68.79%,19.63,31.00%,-37.02%,27.12%,-46.88%,46.05%
KLIC,40.92,2198854008,"Kulicke and Soffa Industries, Inc.",5,26.92%,-4.92%,5.87%,-25.72%,17.29%,7.63,0.30%,11.46%,-0.11%,13.18%,-1.08%
ORLA,6.905,2257709220,Orla Mining Ltd.,2,-11.54%,38.09%,,,102.20%,11.03,0.80%,-6.54%,0.75%,-5.95%,21.49%
NEOG,10.05,2171609440,Neogen Corporation,2,39.51%,-0.53%,17.01%,22.02%,4.12%,0.97,-10.80%,3.80%,-12.08%,4.50%,-47.07%
NATL,30.05,2210148631,NCR Atleos Corporation,3,24.31%,3.58%,,12.92%,2.43%,1.21,-2.10%,,,,7.73%
TR,30.495,2143517634,"Tootsie Roll Industries, Inc.",,,-4.55%,6.95%,11.00%,,5.94,8.50%,7.10%,7.92%,7.85%,12.40%
HRMY,38.12,2152361262,"Harmony Biosciences Holdings, Inc.",8,43.72%,25.83%,,36.09%,19.19%,5.75,14.20%,-31.46%,15.72%,25.75%,25.71%
VERA,34.33,2155518324,"Vera Therapeutics, Inc.",8,93.64%,,,,,,-39.50%,,-42.24%,-20.90%,
VICR,48.03,2226439896,Vicor Corporation,2,-10.55%,-14.92%,5.38%,0.20%,10.70%,19.13,0.70%,7.60%,-0.28%,7.47%,-0.89%
SUPN,39.25,2148030770,"Supernus Pharmaceuticals, Inc.",1,-8.35%,6.79%,9.82%,4.93%,-3.22%,5.38,4.60%,5.28%,4.42%,6.21%,8.53%
ARCB,93.05,2199562400,ArcBest Corporation,13,35.31%,-5.21%,6.98%,5.72%,7.09%,4.14,8.00%,7.62%,12.26%,10.91%,6.34%
WLY,40.08,2208340443,"John Wiley & Sons, Inc.",,,-10.29%,-0.78%,-4.82%,1.13%,2.23,-1.90%,,-23.02%,3.36%,6.56%
AGM,198.905,2141466261,Federal Agricultural Mortgage Corporation,1,2.59%,2.96%,14.50%,12.49%,6.65%,,0.60%,0.50%,0.66%,0.58%,71.10%
PACS,13.94,2205072275,"PACS Group, Inc.",9,137.71%,,,,16.86%,,,,,,
TNDM,32.87,2202789810,"Tandem Diabetes Care, Inc.",15,64.02%,10.75%,20.95%,8.94%,10.86%,1.41,-13.40%,-9.14%,-18.72%,-9.78%,-15.64%
CEPU,13.13,1931020951,Central Puerto S.A.,1,-8.88%,-0.69%,,,43.68%,4.03,11.40%,8.42%,25.78%,16.94%,82.61%
WERN,34.665,2184905730,"Werner Enterprises, Inc.",15,8.08%,-6.79%,4.48%,6.15%,7.67%,2.84,1.50%,7.70%,3.20%,11.02%,2.93%
AGM.A,151,2118730240,Federal Agricultural Mortgage Corporation,1,35.76%,18.52%,14.16%,15.56%,6.65%,,0.60%,0.50%,0.71%,0.58%,72.19%
SLNO,49.415,2129999560,"Soleno Therapeutics, Inc.",5,43.90%,,,,,,-55.20%,-63.56%,-51.72%,-132.47%,
RVLV,30.085,2086365411,"Revolve Group, Inc.",15,-1.97%,2.23%,13.49%,11.35%,8.84%,8.18,6.20%,11.16%,6.75%,21.08%,3.86%
GENI,9.135,2079519300,Genius Sports Limited,11,22.80%,18.25%,,27.01%,15.34%,5.75,-9.90%,-29.56%,-15.22%,72.77%,-18.54%
CMBT,10.835,2115995544,Cmb.Tech NV,,,30.33%,18.10%,63.27%,20.93%,2.57,32.60%,6.60%,38.90%,10.14%,67.36%
BKE,42.46,2204090658,"The Buckle, Inc.",1,7.94%,-4.66%,6.44%,-0.32%,2.70%,5.61,21.30%,22.20%,22.61%,27.65%,19.79%
JANX,36.6925,2087139945,"Janux Therapeutics, Inc.",11,126.45%,54.12%,,86.21%,-72.46%,32.59,-9.90%,,-12.65%,16.11%,-658.76%
DKL,41.1,2251879908,"Delek Logistics Partners, LP",4,7.53%,-4.87%,10.25%,14.79%,4.99%,,7.50%,11.88%,12.04%,17.96%,22.07%
ENVX,11.215,2057262480,Enovix Corporation,11,85.89%,1429.35%,,,72.33%,0.71,-48.70%,,-75.35%,-31.92%,-1316.09%
HURN,129.27,2283431424,Huron Consulting Group Inc.,4,3.02%,7.49%,9.42%,19.34%,7.75%,3.81,6.50%,3.78%,11.77%,5.03%,10.30%
VSEC,103.485,2174662518,VSE Corporation,6,13.57%,27.51%,6.60%,13.74%,27.06%,3.59,1.00%,2.18%,3.93%,-1.31%,7.80%
WOR,42.16,2161400360,"Worthington Enterprises, Inc.",3,15.65%,-11.95%,-19.71%,-34.12%,2.83%,,2.60%,9.66%,-2.24%,1.16%,-4.54%
CXW,19.185,1989288840,"CoreCivic, Inc.",3,28.62%,5.16%,0.09%,1.92%,3.15%,1.64,2.50%,2.18%,5.97%,3.64%,10.17%
CGON,27.68,2088236848,"CG Oncology, Inc.",10,135.44%,236.95%,,,-20.32%,80.05,-16.50%,,-17.79%,,-13969.15%
LGND,111.49,2130834258,Ligand Pharmaceuticals Incorporated,6,29.76%,-0.76%,-0.06%,-15.41%,14.95%,12.75,5.10%,8.98%,-1.48%,11.50%,-10.71%
FINV,8.09,2195007905,FinVolution Group,,,3.71%,15.91%,13.08%,7.97%,,10.20%,12.82%,13.28%,20.54%,17.15%
EVTC,33.03,2113896543,"EVERTEC, Inc.",3,5.87%,24.45%,11.48%,13.14%,6.26%,2.24,4.30%,12.44%,9.03%,14.22%,16.93%
SDRL,32.14,2255692671,Seadrill Limited,6,93.67%,13.77%,,16.10%,5.01%,2.30,10.00%,,7.02%,,16.49%
IIPR,74.02,2106469330,"Innovative Industrial Properties, Inc.",7,52.98%,3.36%,57.80%,19.39%,-2.73%,,6.80%,5.54%,7.71%,5.96%,55.88%
ULCC,9.285,2192869560,"Frontier Group Holdings, Inc.",11,-21.63%,1.66%,11.19%,28.72%,12.48%,0.79,-0.10%,,-0.03%,-1.88%,0.27%
ICFI,111.015,2157804314,"ICF International, Inc.",4,50.92%,2.11%,6.52%,7.77%,7.73%,3.13,5.30%,3.92%,8.23%,6.14%,8.31%
MBC,16.38,2127711586,"MasterBrand, Inc.",1,40.72%,-4.37%,,3.15%,7.56%,2.72,5.80%,,8.26%,,9.57%
UPWK,15.57,2039758420,Upwork Inc.,12,15.64%,14.27%,21.51%,17.29%,1.51%,3.26,8.40%,-3.72%,7.54%,-6.44%,7.88%
BTE,2.485,2031306240,Baytex Energy Corp.,1,120.88%,39.63%,19.18%,38.15%,-5.61%,0.22,-4.60%,-4.32%,-1.43%,-4.49%,-2.53%
TSLX,22.195,2069784368,"Sixth Street Specialty Lending, Inc.",6,0.59%,14.25%,12.99%,22.15%,-3.45%,,5.40%,7.06%,10.60%,8.33%,78.56%
AZTA,45.24,2095430534,"Azenta, Inc.",4,29.63%,3.36%,-4.37%,6.66%,6.29%,5.34,-7.20%,13.40%,-10.45%,-4.31%,-28.54%
EXTR,15.52,2037125475,"Extreme Networks, Inc.",6,26.58%,-24.49%,-0.19%,-2.01%,8.34%,0.56,-11.40%,-1.76%,-36.59%,-1.52%,-10.18%
ARDT,14.435,2132428331,"Ardent Health Partners, Inc.",11,48.93%,,,,7.77%,,,,,,
ATRC,42.26,2017655321,"AtriCure, Inc.",10,8.61%,17.56%,15.01%,20.03%,12.85%,8.13,-6.40%,-4.10%,-6.30%,-11.39%,-7.63%
HTH,31.69,2114503302,Hilltop Holdings Inc.,2,7.44%,-0.70%,-2.54%,-16.95%,3.74%,,0.70%,1.56%,3.17%,6.71%,12.67%
PHIN,48.895,2083142299,PHINIA Inc.,3,14.40%,-0.49%,,49.46%,-0.46%,1.94,2.40%,,4.99%,,8.02%
BTU,16.915,2100735000,Peabody Energy Corporation,5,62.74%,-18.53%,-2.37%,15.93%,6.96%,2.29,9.10%,1.24%,12.35%,-0.28%,14.94%
NAMS,19.14,2039441970,NewAmsterdam Pharma Company N.V.,7,115.71%,-42.79%,,,-71.84%,18.19,-51.10%,,-55.15%,,-2424.45%
ADUS,113.91,2079322577,Addus HomeCare Corporation,10,18.72%,10.15%,13.78%,10.70%,24.57%,7.98,6.80%,5.14%,7.78%,5.99%,9.15%
SID,1.495,1942721850,Companhia Siderúrgica Nacional,2,97.32%,2.43%,,40.11%,4.74%,1.08,-0.40%,5.80%,-7.85%,10.49%,8.99%
JAMF,15.89,2023008750,Jamf Holding Corp.,9,37.85%,13.85%,,21.98%,12.74%,1.19,-4.40%,-5.72%,-7.09%,-7.17%,-12.55%
MTRN,98.12,2087373267,Materion Corporation,2,45.69%,-0.58%,6.76%,4.72%,5.66%,3.49,4.10%,4.84%,6.65%,6.53%,6.54%
AVDX,9.885,2031543954,"AvidXchange Holdings, Inc.",15,17.77%,17.84%,,22.60%,10.36%,0.68,,,,4.69%,-2.63%
PWP,23.05,2129139496,Perella Weinberg Partners,2,19.20%,39.72%,,2.99%,11.08%,,-13.70%,-13.70%,,-28.23%,-16.63%
CIFR,5.775,1982494200,Cipher Mining Inc.,10,35.12%,76.34%,,,123.56%,11.30,-7.30%,,-6.01%,,-27.41%
BKV,24,2064247320,BKV Corporation,8,17.81%,,,,,,,,,,
AGX,148.54,1995268198,"Argan, Inc.",3,-17.16%,52.83%,25.53%,17.18%,6.90%,5.08,9.70%,2.88%,15.10%,4.05%,8.34%
SPB,76.575,2013276489,"Spectrum Brands Holdings, Inc.",7,31.51%,2.56%,4.04%,-0.52%,2.04%,2.91,3.00%,8.14%,4.65%,0.51%,6.40%
TRMD,20.1,1992839168,TORM plc,1,139.16%,-2.39%,19.76%,43.48%,-9.52%,2.87,21.50%,11.38%,21.96%,13.71%,44.81%
DAVA,33.8,1996462099,Endava plc,12,18.33%,-5.03%,19.72%,14.44%,9.62%,4.66,0.80%,9.32%,0.54%,10.59%,1.10%
LSPD,13.31,2007018880,Lightspeed Commerce Inc.,14,29.90%,22.05%,,29.58%,18.47%,6.88,-4.90%,-14.80%,-6.65%,-16.50%,-14.76%
LEU,119.605,1833805682,Centrus Energy Corp.,2,-23.39%,38.04%,16.08%,14.00%,3.57%,2.45,9.40%,11.48%,6.82%,-138.26%,10.86%
TVTX,23.02,2067064625,"Travere Therapeutics, Inc.",12,30.67%,57.08%,3.36%,-2.75%,55.36%,-3.03,-56.10%,-24.86%,-96.06%,-46.71%,-175.63%
INSW,40.67,1959841152,"International Seaways, Inc.",3,49.77%,-13.07%,24.07%,62.56%,-5.02%,3.09,19.90%,,21.81%,8.62%,55.34%
NEXT,7.675,2061504720,NextDecade Corporation,1,17.04%,,,,,,-5.90%,-20.04%,-3.85%,-54.59%,
OFG,43.27,1998398920,OFG Bancorp,3,15.66%,2.17%,14.31%,6.85%,4.48%,,1.70%,1.22%,12.06%,10.10%,42.13%
EVCM,10.755,1987131720,EverCommerce Inc.,9,16.84%,3.82%,,15.79%,4.17%,1.70,-3.50%,,,-8.79%,1.71%
ENLT,16.29,1983742900,Enlight Renewable Energy Ltd,3,20.75%,47.65%,,,27.54%,0.43,1.00%,,2.23%,,39.10%
HLMN,10.015,1993432740,Hillman Solutions Corp.,6,39.93%,-0.57%,,1.45%,4.32%,1.75,0.40%,-2.10%,2.33%,1.91%,6.19%
BWLP,13.045,1960907452,BW LPG Limited,,,,,,0.36%,,,,,,
TGI,25.345,1962290265,"Triumph Group, Inc.",9,-25.90%,7.23%,-16.58%,-6.90%,11.74%,2.72,36.10%,2.80%,13.91%,5.04%,10.03%
GTX,9.18,1955160110,Garrett Motion Inc.,1,30.72%,-6.85%,2.14%,-1.82%,3.23%,1.64,10.00%,7.80%,49.78%,17.11%,12.86%
ACLS,60.1,1902539775,"Axcelis Technologies, Inc.",7,158.71%,-0.98%,25.84%,22.94%,-4.79%,5.84,17.00%,13.54%,19.79%,16.84%,21.87%
CNMD,63.16,2009761954,CONMED Corporation,5,22.38%,10.23%,6.67%,9.19%,6.60%,2.22,5.70%,0.94%,8.70%,6.48%,15.37%
TARS,51.03,1957981818,"Tarsus Pharmaceuticals, Inc.",6,8.56%,801.96%,,31.74%,85.83%,7.36,-39.30%,-26.34%,-45.47%,-8.93%,-108.47%
GBX,62.095,2001344144,"The Greenbrier Companies, Inc.",3,3.07%,-9.39%,2.46%,23.97%,2.20%,,4.40%,1.88%,7.80%,4.06%,10.28%
APGE,34.16,2018120027,"Apogee Therapeutics, Inc.",5,144.76%,,,,,,-20.90%,,-23.86%,,
DFH,20.79,1928882047,"Dream Finders Homes, Inc.",1,53.92%,8.58%,50.47%,38.00%,-1.55%,,10.90%,11.98%,12.27%,14.98%,10.14%
SKWD,48.45,1957678583,"Skyward Specialty Insurance Group, Inc.",10,9.64%,32.05%,,,10.07%,,4.10%,,15.45%,,16.66%
