Symbol,Company Name,Market Cap,IPO Date,PT Diff. (%),OpInc Growth 5Y,Rev. Growth 5Y,Rev Gr. Next Y,Rev Gr. Next 5Y,OpInc Growth 3Y,Rev. Growth 3Y,Analyst Count,FCF Growth 3Y,FCF Growth 5Y,Debt Growth (5Y),Debt Growth (3Y),Oper. Margin,EBITDA Margin,ROA,ROIC,ROA (5Y),ROIC (5Y),Current Ratio,Quick Ratio,Debt / EBITDA,Z-Score,Tax / Revenue,R&D / Rev,Debt Growth (YoY),FCF Growth,Rev. Growth,Sector,Industry
VVX,"V2X, Inc.",1907516620,2014-09-16,19.39%,25.81%,25.57%,4.35%,,30.53%,34.72%,6,-3.03%,9.30%,73.88%,108.02%,3.48%,5.89%,0.30%,3.05%,2.86%,7.79%,1.08,0.91,4.61,2.16,0.27%,,-5.01%,-44.37%,7.79%,Industrials,Aerospace & Defense
PRQR,ProQR Therapeutics N.V.,378758680,2014-09-18,85.68%,,49.63%,-13.60%,48.80%,,112.64%,4,,,8.33%,-21.39%,-118.97%,-93.89%,-19.70%,-62.91%,-39.76%,-51.55%,2.33,2.32,,,-0.86%,149.40%,-18.21%,,371.51%,Healthcare,Biotechnology
BABA,Alibaba Group Holding Limited,207976692208,2014-09-19,28.13%,6.21%,16.68%,8.79%,7.06%,7.56%,5.69%,15,-15.70%,-3.54%,6.78%,10.05%,11.09%,18.33%,4.80%,7.08%,6.88%,7.07%,1.37,1.53,1.13,2.65,2.88%,5.63%,21.30%,-44.36%,5.14%,Consumer Discretionary,Internet Retail
CFG,"Citizens Financial Group, Inc.",21119714023,2014-09-24,-5.91%,-6.91%,3.20%,4.86%,,-17.90%,1.05%,15,3.60%,5.47%,0.11%,26.14%,22.28%,27.44%,0.50%,3.27%,0.88%,5.00%,,,7.15,,4.05%,,-20.62%,-42.98%,-8.64%,Financials,Banks - Regional
CYBR,CyberArk Software Ltd.,13890360330,2014-09-24,1.11%,,17.09%,23.19%,22.20%,,22.39%,29,35.00%,10.95%,,1.26%,-5.07%,-3.30%,0.60%,-1.37%,-1.96%,-4.30%,1.73,1.46,,7.46,1.26%,24.58%,-6.34%,845.69%,30.31%,Technology,Software - Infrastructure
W,Wayfair Inc.,5807285101,2014-10-02,27.51%,,6.59%,2.85%,5.99%,,-5.71%,25,-43.78%,,11.89%,0.24%,-4.36%,-0.91%,-15.90%,-42.57%,-18.56%,-43.71%,0.84,0.68,,1.62,0.09%,,-2.21%,,-1.22%,Consumer Discretionary,Internet Retail
HUBS,"HubSpot, Inc.",37268109312,2014-10-09,-6.71%,,31.69%,15.99%,19.36%,,28.42%,22,38.89%,42.83%,5.64%,1.97%,-3.24%,3.90%,-0.40%,,-4.66%,-5.27%,1.64,1.49,7.75,13.10,0.81%,29.06%,-3.70%,60.75%,21.78%,Technology,Software - Application
VBTX,"Veritex Holdings, Inc.",1651679429,2014-10-09,-3.32%,4.62%,8.12%,3.92%,,-10.86%,4.88%,5,-11.87%,11.54%,-22.56%,-39.53%,31.10%,36.16%,0.70%,4.67%,1.14%,5.03%,,,1.72,,7.96%,,-46.33%,-23.96%,-11.07%,Financials,Banks - Regional
BSIG,BrightSphere Investment Group Inc.,1164691659,2014-10-09,-10.20%,-11.56%,-10.72%,8.49%,,-5.11%,-0.89%,2,,,-10.80%,-12.24%,22.62%,28.93%,11.60%,21.02%,25.20%,24.93%,,,2.52,,6.87%,,-6.02%,64.77%,12.17%,Financials,Asset Management
ATRA,"Atara Biotherapeutics, Inc.",70153755,2014-10-16,120.78%,,,-3.38%,77.96%,,98.76%,5,,,38.04%,43.64%,-130.62%,-110.68%,-90.20%,,-82.40%,211.02%,0.59,0.44,,-22.65,0.02%,171.61%,-10.93%,,2111.34%,Healthcare,Biotechnology
BOOT,"Boot Barn Holdings, Inc.",4158461619,2014-10-30,18.98%,22.17%,16.49%,14.07%,,4.53%,14.20%,11,-66.57%,-19.53%,6.55%,19.94%,11.58%,18.42%,8.70%,9.94%,10.10%,12.68%,2.25,0.13,1.60,5.12,2.93%,,24.88%,-97.08%,3.51%,Consumer Discretionary,Apparel Retail
FFWM,First Foundation Inc.,665348408,2014-11-03,-1.89%,,-12.06%,31.32%,,,-28.12%,5,,,29.10%,430.37%,-105.54%,-99.77%,-0.60%,-3.89%,0.56%,3.58%,,,,,-35.52%,,61.09%,,-60.91%,Financials,Banks - Regional
AM,Antero Midstream Corporation,7667491320,2014-11-05,0.19%,,14.28%,2.98%,,5.56%,6.80%,1,-0.10%,23.73%,3.60%,0.81%,59.07%,81.15%,6.80%,8.95%,2.14%,2.90%,1.09,,3.62,1.89,12.42%,,-2.67%,70.49%,5.45%,Energy,Oil & Gas Midstream
XENE,Xenon Pharmaceuticals Inc.,3289738740,2014-11-05,34.41%,,,1599.99%,,,,10,,,-9.83%,44.49%,,,-23.70%,-31.64%,-22.20%,-22.40%,22.21,22.06,,,,,-11.06%,,,Healthcare,Biotechnology
NVRO,Nevro Corp.,171619928,2014-11-06,94.81%,,1.78%,0.66%,6.35%,,2.09%,14,,,6.55%,14.31%,-19.92%,-8.94%,-11.40%,-16.05%,-14.14%,-15.07%,5.02,3.65,,-0.27,-1.35%,12.39%,27.17%,,-0.87%,Healthcare,Medical Devices
CHRS,"Coherus BioSciences, Inc.",145168380,2014-11-06,402.46%,,5.56%,16.77%,16.80%,,-5.76%,4,,,7.30%,-13.55%,-45.45%,12.40%,-0.10%,-76.73%,-18.06%,-28.21%,1.25,1.00,7.11,-3.03,,32.35%,-43.43%,,44.19%,Healthcare,Biotechnology
UPLD,"Upland Software, Inc.",101257290,2014-11-06,2.18%,,6.69%,-3.35%,,,-2.88%,3,-22.28%,28.34%,-2.94%,-17.35%,-39.33%,-18.49%,-17.90%,-36.53%,-8.88%,-8.41%,0.99,0.80,,-1.53,0.65%,17.11%,-37.99%,-49.93%,-8.39%,Technology,Software - Application
FRPT,"Freshpet, Inc.",7428557240,2014-11-07,4.63%,,31.98%,24.56%,23.38%,,33.03%,15,,,56.48%,285.20%,3.61%,13.12%,2.90%,2.31%,-2.62%,-2.25%,4.72,3.81,3.49,9.45,0.02%,,-0.26%,,29.36%,Consumer Staples,Packaged Foods
JYNT,The Joint Corp.,174034514,2014-11-11,50.34%,,22.08%,-13.06%,,,16.81%,2,-14.43%,4.19%,-8.95%,-23.45%,-4.75%,0.26%,-20.10%,-19.22%,6.68%,19.15%,1.44,0.69,29.73,2.82,9.37%,,-61.79%,-40.33%,5.26%,Healthcare,Medical Care Facilities
AXTA,Axalta Coating Systems Ltd.,8822828980,2014-11-12,4.92%,6.04%,2.95%,2.95%,3.78%,8.61%,6.52%,12,5.25%,3.66%,-1.57%,-2.83%,12.93%,18.00%,4.50%,8.94%,3.14%,6.85%,2.00,1.31,3.72,2.47,2.49%,1.38%,-0.50%,32.78%,2.71%,Materials,Specialty Chemicals
SLNO,"Soleno Therapeutics, Inc.",2272718154,2014-11-13,41.97%,,,,,,,6,,,,75.12%,,,-55.20%,-51.72%,-63.56%,-132.47%,17.26,,,,,,544.47%,,,Healthcare,Biotechnology
FGEN,"FibroGen, Inc.",39078606,2014-11-14,,,-12.78%,-12.13%,,,-14.08%,,,,19.46%,8.76%,-62.75%,-54.37%,-36.20%,,-34.20%,27412.88%,1.28,0.84,,-10.40,-0.08%,81.05%,-35.06%,,16.15%,Healthcare,Biotechnology
PGRE,"Paramount Group, Inc.",1062580315,2014-11-19,-8.72%,-1.61%,1.86%,-2.71%,,-3.65%,1.75%,3,-16.10%,-8.99%,0.54%,-1.41%,18.59%,26.83%,-2.70%,,-0.88%,2.13%,,,17.94,,0.21%,,-3.37%,27.42%,3.99%,Real Estate,REIT - Office
VANI,"Vivani Medical, Inc.",85890315,2014-11-19,108.33%,,,,,,,1,,,49.28%,312.19%,,,-49.20%,-64.28%,-115.88%,-348.42%,3.41,,,,,,-6.54%,,,Healthcare,Biotechnology
LC,LendingClub Corporation,1873741340,2014-12-11,-7.74%,,0.10%,20.19%,,,6.13%,8,,,-72.64%,-85.28%,8.95%,15.71%,0.50%,3.85%,-0.80%,2.80%,,,0.02,,2.10%,,-90.70%,,-19.78%,Financials,Banks - Regional
MOMO,Hello Group Inc.,916244120,2014-12-11,22.29%,-5.14%,-5.97%,-0.61%,,-2.72%,-8.41%,3,-18.41%,-22.57%,-5.50%,-7.64%,18.71%,22.76%,8.30%,8.10%,6.26%,5.90%,2.55,2.32,1.49,,8.89%,7.26%,52.54%,-51.23%,-8.91%,Communication Services,Internet Content & Information
WK,Workiva Inc.,5421554428,2014-12-12,6.12%,,20.12%,16.17%,24.36%,,19.22%,5,9.32%,21.92%,20.07%,33.76%,-10.30%,-3.13%,-4.10%,-9.88%,-9.44%,-13.28%,1.83,1.71,,2.53,0.65%,26.21%,0.12%,58.70%,16.18%,Technology,Software - Application
BOX,"Box, Inc.",5020141400,2015-01-23,-11.09%,,10.08%,6.37%,6.86%,,9.27%,10,10.61%,49.64%,3.77%,-10.57%,6.69%,10.96%,10.10%,303.35%,-2.98%,75.80%,1.25,1.12,4.13,2.70,-5.85%,23.70%,-8.84%,4.28%,3.86%,Technology,Software - Infrastructure
ASND,Ascendis Pharma A/S,8146240834,2015-01-28,40.92%,,72.59%,90.02%,56.74%,,357.65%,13,,,84.46%,97.55%,-91.67%,-77.86%,-49.00%,-45.67%,-44.10%,-56.23%,1.16,0.81,,3.35,2.77%,92.49%,18.45%,,115.54%,Healthcare,Biotechnology
SHAK,Shake Shack Inc.,5323444063,2015-01-30,-14.54%,,16.36%,14.51%,14.56%,,20.36%,17,,,18.51%,6.62%,-0.70%,15.17%,0.50%,-2.11%,-0.40%,-1.07%,2.01,1.86,4.36,3.54,-0.49%,,5.89%,,16.38%,Consumer Discretionary,Restaurants
FNWB,First Northwest Bancorp,105775571,2015-01-30,-3.51%,,3.09%,11.49%,,,-9.38%,1,-8.61%,0.90%,32.44%,51.89%,-23.60%,-20.64%,-0.40%,-2.32%,0.62%,2.99%,,,,,-5.23%,,17.33%,-19.07%,-33.22%,Financials,Banks - Regional
AVGR,"Avinger, Inc.",2660049,2015-01-30,495.24%,,-3.32%,93.49%,29.77%,,-11.45%,1,,,-13.44%,-29.42%,-240.98%,-236.35%,-112.80%,-217.58%,-85.18%,-112.76%,1.21,0.71,,-48.07,,57.89%,-69.78%,,-6.26%,Healthcare,Medical Instruments & Supplies
DEA,"Easterly Government Properties, Inc.",1313994015,2015-02-06,16.61%,17.40%,7.22%,7.29%,,2.11%,3.36%,2,,,10.32%,13.51%,24.48%,58.09%,0.60%,2.60%,0.76%,2.50%,,,8.56,,,,21.18%,,2.88%,Real Estate,REIT - Office
AJX,Great Ajax Corp.,141940000,2015-02-13,97.37%,,,-15.29%,,,,2,,,-12.61%,-18.42%,151.52%,151.48%,-10.90%,-13.76%,0.06%,0.70%,,,,,,,-41.01%,,,Real Estate,REIT - Mortgage
CHEK,Check-Cap Ltd.,4710125,2015-02-19,,,,,,,,,,,,,,,-54.40%,-81.42%,-60.72%,-91.27%,18.69,,,,,,,,,Healthcare,Diagnostics & Research
SUM,"Summit Materials, Inc.",8954886000,2015-03-12,-0.24%,16.51%,11.73%,6.28%,,14.28%,15.49%,15,-1.61%,6.54%,8.74%,20.97%,10.42%,21.71%,2.00%,3.02%,3.28%,4.69%,3.10,2.43,3.53,2.31,3.02%,,87.53%,28.01%,49.49%,Materials,Building Materials
TANH,Tantech Holdings Ltd,1214851,2015-03-24,,-31.09%,-1.30%,,,-26.27%,3.81%,,47.69%,-11.73%,-7.83%,-10.44%,3.87%,18.63%,4.00%,0.96%,-2.24%,-4.58%,6.57,6.46,0.99,1.84,5.00%,1.00%,-27.44%,-41.00%,-11.54%,Consumer Staples,Household & Personal Products
SEDG,"SolarEdge Technologies, Inc.",861138486,2015-03-26,69.75%,,-3.81%,26.62%,2.61%,,-16.06%,26,,,71.64%,3.25%,-158.27%,-151.06%,-42.70%,-97.32%,5.58%,7.59%,2.34,1.02,,-1.11,3.05%,27.70%,4.55%,,-70.52%,Technology,Solar
GDDY,GoDaddy Inc.,27986243895,2015-04-01,-14.53%,16.63%,9.07%,7.49%,8.13%,19.61%,6.88%,15,17.27%,16.18%,8.47%,-1.28%,25.01%,22.14%,23.70%,71.32%,4.46%,29.46%,0.56,0.31,3.91,2.53,-26.02%,18.25%,-0.87%,36.10%,6.85%,Technology,Software - Infrastructure
KRNT,Kornit Digital Ltd.,1511299598,2015-04-02,-2.52%,,3.40%,10.34%,,,-13.33%,5,-32.35%,34.87%,4.98%,-6.87%,-32.01%,-25.49%,-4.90%,-7.87%,-2.20%,-3.28%,16.50,14.87,,,0.98%,21.95%,-27.97%,,-11.83%,Industrials,Specialty Industrial Machinery
XBIT,XBiotech Inc.,224053725,2015-04-15,,,,,,,,,,,,,,,-14.80%,-20.93%,47.36%,-9.98%,11.57,,,,,,,,,Healthcare,Biotechnology
CDTX,"Cidara Therapeutics, Inc.",142341926,2015-04-15,50.92%,,6.65%,,10.87%,,-17.00%,5,,,-19.83%,-14.68%,-493.94%,-462.52%,-108.10%,-108.84%,-66.88%,72.06%,3.54,2.91,,-4.50,0.24%,174.70%,-9.50%,,-56.09%,Healthcare,Biotechnology
ETSY,"Etsy, Inc.",6109440520,2015-04-16,15.00%,29.58%,30.18%,2.82%,8.06%,-11.11%,7.87%,25,5.65%,26.53%,23.23%,0.94%,12.17%,16.45%,10.20%,14.50%,5.76%,5.31%,2.39,2.22,5.19,2.25,3.04%,16.05%,-0.04%,2.65%,3.14%,Consumer Discretionary,Internet Retail
VIRT,"Virtu Financial, Inc.",3206076740,2015-04-16,-20.93%,27.63%,10.56%,0.78%,,-2.54%,-2.51%,7,-18.24%,226.34%,13.98%,20.17%,43.77%,38.24%,1.40%,5.86%,2.72%,8.10%,,,11.76,,3.65%,,-21.99%,0.01%,14.34%,Financials,Capital Markets
ZVRA,"Zevra Therapeutics, Inc.",501733460,2015-04-16,127.22%,,16.68%,376.61%,52.78%,,-4.47%,7,,,-5.52%,229.64%,-348.01%,-296.47%,-51.50%,-66.51%,-79.80%,-126.39%,2.88,2.82,,-1.78,,181.45%,33.69%,,49.65%,Healthcare,Biotechnology
NSA,National Storage Affiliates Trust,3482844192,2015-04-23,-5.04%,20.58%,16.13%,1.63%,,16.21%,14.78%,9,,,17.23%,17.05%,39.02%,65.47%,2.60%,6.95%,1.34%,5.01%,,,6.63,,0.13%,,-10.85%,221.12%,-6.55%,Real Estate,REIT - Industrial
VKTX,"Viking Therapeutics, Inc.",5899421840,2015-04-29,107.27%,,,,,,,11,,,11.00%,120.63%,,,-12.30%,-14.68%,-22.50%,-26.70%,36.47,,,,,,-7.63%,,,Healthcare,Biotechnology
BPMC,Blueprint Medicines Corporation,6148979811,2015-04-30,25.33%,,93.50%,38.91%,39.60%,,59.45%,19,,,37.05%,77.81%,-63.52%,-18.03%,-11.40%,-35.17%,-31.36%,-56.02%,3.32,3.15,,2.09,0.14%,81.79%,41.15%,,100.93%,Healthcare,Biotechnology
BSM,"Black Stone Minerals, L.P.",3260505125,2015-05-01,9.68%,0.65%,-3.03%,3.60%,,64.76%,28.10%,3,15.28%,1.18%,,,69.00%,78.10%,28.00%,43.00%,19.74%,31.03%,5.62,4.58,,,,0.56%,,-34.36%,-14.39%,Energy,Oil & Gas Exploration & Production
ADAP,Adaptimmune Therapeutics plc,185384990,2015-05-06,287.12%,,147.81%,-75.68%,26.40%,,203.94%,4,,,24.47%,42.08%,-25.76%,-17.36%,-15.10%,-29.19%,-42.52%,-114.49%,3.85,3.17,,-3.23,0.70%,81.79%,190.98%,,146.27%,Healthcare,Biotechnology
COLL,"Collegium Pharmaceutical, Inc.",1001691212,2015-05-07,37.71%,,15.16%,17.63%,-6.29%,42.58%,22.53%,6,30.28%,46.81%,109.12%,47.83%,32.29%,58.10%,7.20%,12.08%,1.78%,2.00%,0.97,0.82,2.51,1.03,6.58%,,21.72%,-27.79%,9.62%,Healthcare,Drug Manufacturers - Specialty & Generic
ATYR,"aTyr Pharma, Inc.",296316672,2015-05-07,445.33%,,-3.30%,1290.73%,244.83%,,-51.45%,4,,,-0.27%,103.68%,-28958.72%,-26326.81%,-59.20%,-86.26%,-42.62%,-51.07%,5.41,5.01,,-2.67,,23361.28%,-10.83%,,-97.81%,Healthcare,Biotechnology
FTAI,FTAI Aviation Ltd.,17289417250,2015-05-15,-7.92%,30.86%,24.51%,22.78%,19.49%,45.94%,76.79%,12,,,14.64%,1.72%,10.81%,23.98%,-0.30%,,0.46%,4.43%,,,8.66,,-4.36%,,41.20%,,36.77%,Industrials,Rental & Leasing Services
RKDA,"Arcadia Biosciences, Inc.",3767234,2015-05-15,115.05%,,34.50%,25.44%,,,-23.44%,1,,,-30.90%,-55.05%,-117.84%,-94.99%,-34.10%,-58.38%,-47.02%,-102.44%,4.60,3.99,,-25.05,0.13%,12.11%,-72.78%,,15.25%,Consumer Staples,Packaged Foods
APLE,"Apple Hospitality REIT, Inc.",3887984625,2015-05-18,5.53%,1.97%,2.10%,2.68%,,134.40%,19.96%,3,34.46%,-0.09%,0.72%,2.95%,18.68%,33.33%,4.10%,5.34%,1.40%,2.70%,,,3.43,,0.07%,,8.60%,0.34%,6.04%,Real Estate,REIT - Hotel & Motel
SHOP,Shopify Inc.,150012414912,2015-05-21,-17.34%,,42.11%,20.81%,20.65%,34.83%,24.95%,34,46.21%,,59.36%,1.22%,10.95%,18.59%,12.00%,7.42%,-1.06%,-3.85%,7.10,6.87,0.75,42.36,1.29%,16.16%,1.69%,160.84%,23.47%,Technology,Software - Application
CHCT,Community Healthcare Trust Incorporated,535185007,2015-05-21,11.05%,15.09%,15.52%,6.76%,,1.53%,9.75%,4,,,17.07%,22.52%,28.16%,56.16%,,,2.24%,3.66%,,,7.30,,,,18.08%,,6.00%,Real Estate,REIT - Healthcare Facilities
EVH,"Evolent Health, Inc.",1530485320,2015-06-05,100.16%,,25.14%,14.39%,17.83%,,39.58%,10,,,15.88%,28.16%,-1.14%,3.04%,-4.00%,-1.68%,-10.50%,-11.59%,1.04,0.99,8.47,1.23,-0.61%,,-2.81%,97.59%,37.65%,Healthcare,Health Information Services
WING,Wingstop Inc.,9681248343,2015-06-12,17.62%,29.19%,25.88%,20.06%,18.68%,30.18%,29.25%,17,31.79%,57.25%,19.71%,18.35%,25.99%,29.19%,23.30%,34.60%,14.28%,31.52%,1.40,0.94,4.51,7.33,5.87%,,9.24%,90.24%,34.98%,Consumer Discretionary,Restaurants
TRU,TransUnion,19781375500,2015-06-25,4.17%,-0.94%,9.68%,7.96%,7.50%,-3.03%,15.19%,16,-10.13%,-1.90%,6.82%,16.03%,13.59%,26.47%,2.00%,4.78%,5.22%,5.18%,1.68,1.45,4.79,2.66,1.30%,,-3.11%,39.71%,8.53%,Financials,Financial Data & Stock Exchanges
GKOS,Glaukos Corporation,7920487510,2015-06-25,-5.38%,,9.86%,24.98%,23.72%,,7.02%,12,,,14.38%,-25.65%,-36.72%,-26.92%,-16.10%,-16.03%,-7.52%,-9.51%,5.54,4.51,,17.67,0.26%,38.01%,-59.06%,,18.70%,Healthcare,Medical Devices
LNTH,"Lantheus Holdings, Inc.",6276184236,2015-06-25,36.51%,53.62%,34.17%,6.32%,15.64%,,56.59%,7,150.64%,55.51%,23.53%,47.24%,32.11%,43.57%,22.90%,20.65%,4.48%,6.65%,1.65,1.53,0.87,6.62,9.52%,9.99%,0.72%,28.86%,24.15%,Healthcare,Drug Manufacturers - Specialty & Generic
ATXS,"Astria Therapeutics, Inc.",591148245,2015-06-25,146.39%,,,,,,,5,,,43.42%,118.43%,,,-29.40%,-33.45%,-70.40%,-75.64%,22.38,,,,,,1055.33%,,,Healthcare,Biotechnology
APPF,"AppFolio, Inc.",9591465800,2015-06-26,6.67%,73.10%,26.11%,17.79%,,,31.38%,6,,71.46%,-10.62%,-12.11%,18.49%,23.00%,28.50%,26.67%,8.94%,0.07%,6.20,5.60,0.22,55.78,2.95%,20.06%,-6.58%,719.01%,33.12%,Technology,Software - Application
ALRM,"Alarm.com Holdings, Inc.",3184716913,2015-06-26,0.29%,18.71%,14.31%,5.19%,4.79%,17.21%,8.70%,6,20.04%,36.82%,58.36%,31.55%,11.19%,20.99%,7.40%,5.16%,7.34%,6.75%,8.66,7.92,5.44,3.28,2.01%,27.62%,99.72%,43.53%,6.98%,Technology,Software - Application
MCRB,"Seres Therapeutics, Inc.",156225270,2015-06-26,474.49%,,-72.05%,215.76%,21.92%,,-92.56%,4,,,34.61%,28.82%,-218167.19%,3629.69%,-8.50%,-118.80%,-45.28%,347.84%,1.13,,40.30,-7.12,,129504.69%,-55.90%,,-99.95%,Healthcare,Biotechnology
TDOC,"Teladoc Health, Inc.",2053952310,2015-07-01,0.83%,,37.89%,-0.95%,4.47%,,11.63%,20,,188.08%,27.98%,7.34%,-38.92%,-21.46%,-24.90%,-32.66%,-38.84%,-73.61%,1.73,1.56,,-5.73,0.42%,12.37%,0.38%,85.18%,0.39%,Healthcare,Health Information Services
NTRA,"Natera, Inc.",22238937282,2015-07-02,-13.58%,,39.88%,13.31%,16.81%,,39.46%,17,,,25.19%,7.17%,-15.80%,-10.13%,-14.30%,-18.01%,-36.66%,-37.00%,4.39,4.08,,17.84,0.15%,23.35%,8.03%,,54.94%,Healthcare,Diagnostics & Research
SRG,Seritage Growth Properties,256583448,2015-07-06,,,-34.59%,,,,-42.16%,,,,-29.42%,-44.29%,-250.62%,-429.15%,-17.00%,-8.05%,-5.00%,-4.17%,,,,,7.02%,,-30.00%,,-35.16%,Real Estate,Real Estate Services
OLLI,"Ollie's Bargain Outlet Holdings, Inc.",6251401960,2015-07-16,6.03%,9.31%,10.65%,11.15%,,-0.70%,7.21%,12,-20.01%,6.86%,9.37%,7.46%,11.46%,13.29%,8.90%,9.13%,8.72%,9.46%,3.01,1.19,1.70,7.12,3.03%,,8.68%,-42.46%,14.15%,Consumer Staples,Discount Stores
PVBC,"Provident Bancorp, Inc.",203540400,2015-07-16,2.83%,-14.30%,5.90%,5.01%,,-33.34%,-3.59%,1,-18.21%,4.77%,30.56%,92.86%,12.57%,14.59%,0.30%,1.50%,0.44%,2.11%,,,15.93,,2.96%,,36.79%,247.57%,-22.27%,Financials,Banks - Regional
RPD,"Rapid7, Inc.",2700818018,2015-07-17,6.22%,,22.33%,6.10%,11.01%,,18.79%,17,74.20%,,31.26%,3.01%,5.08%,13.34%,3.10%,3.54%,-10.54%,-13.06%,1.17,1.02,9.19,0.89,1.00%,19.85%,-0.08%,197.71%,10.05%,Technology,Software - Infrastructure
OOMA,"Ooma, Inc.",393156000,2015-07-17,1.76%,,12.34%,6.59%,7.91%,,11.33%,4,41.84%,,63.25%,23.58%,-3.12%,2.37%,-3.20%,-7.51%,-6.38%,-15.98%,1.15,0.51,3.59,3.67,-0.65%,21.62%,66.52%,160.64%,8.66%,Technology,Software - Application
MCFT,"MasterCraft Boat Holdings, Inc.",355399128,2015-07-17,0.24%,-70.03%,-7.45%,15.43%,,-89.94%,-12.72%,4,-23.35%,-25.46%,-15.44%,-16.30%,0.03%,3.06%,-1.10%,,11.50%,18.05%,2.01,1.32,4.93,3.47,-0.11%,,-5.86%,-87.55%,-44.15%,Consumer Discretionary,Recreational Vehicles
LOB,"Live Oak Bancshares, Inc.",2177677186,2015-07-23,-4.36%,36.71%,19.10%,16.52%,,-15.36%,1.72%,6,,,102.95%,-41.46%,25.75%,27.51%,0.70%,8.62%,1.16%,10.66%,,,1.00,,2.32%,,346.36%,20.23%,10.35%,Financials,Banks - Regional
VTVT,vTv Therapeutics Inc.,51990529,2015-07-30,,,-32.77%,,,,-54.18%,,,,-52.59%,-45.99%,-2362.90%,-1810.90%,-47.30%,-155.24%,-98.64%,121.90%,6.69,6.51,,-8.72,10.00%,1145.00%,-74.97%,,11011.11%,Healthcare,Biotechnology
AQMS,"Aqua Metals, Inc.",17044978,2015-07-31,1155.23%,,,,498.63%,,,2,,,-19.36%,,,,-85.30%,-114.33%,-55.28%,-64.93%,0.59,0.52,,,,,1.29%,,,Industrials,Waste Management
RUN,Sunrun Inc.,2591115450,2015-08-05,72.68%,,18.95%,14.10%,11.66%,,10.84%,21,,,39.09%,24.64%,-31.26%,48.49%,-1.80%,-3.57%,-1.82%,-6.87%,1.47,1.09,12.72,0.19,-1.40%,1.88%,18.33%,,-13.46%,Technology,Solar
PLNT,"Planet Fitness, Inc.",8392384917,2015-08-06,-8.57%,6.52%,10.89%,10.35%,,28.01%,27.99%,17,12.89%,7.79%,14.82%,9.93%,27.15%,42.93%,5.40%,9.21%,3.42%,9.10%,1.94,1.86,5.34,1.95,6.17%,,9.13%,-1.38%,5.51%,Consumer Discretionary,Leisure
HLI,"Houlihan Lokey, Inc.",13114723593,2015-08-13,-17.31%,14.93%,13.77%,14.17%,,-8.45%,2.85%,6,-10.13%,19.75%,21.94%,37.77%,20.40%,24.49%,10.90%,13.26%,12.74%,17.56%,,,0.83,,5.76%,,2.81%,93.29%,18.84%,Financials,Capital Markets
CNFR,"Conifer Holdings, Inc.",13995221,2015-08-13,,,-1.73%,7.00%,,,-9.75%,,,,-13.36%,-21.83%,-30.49%,39.69%,9.70%,-42.46%,-3.14%,-23.35%,,,0.48,,-1.58%,,-34.80%,,-15.82%,Financials,Insurance - Property & Casualty
RGNX,REGENXBIO Inc.,490001039,2015-09-17,266.53%,,5.59%,243.67%,45.69%,,-3.26%,12,,,65.23%,-0.45%,-291.58%,-258.31%,-41.70%,-63.79%,-19.04%,-30.33%,3.05,2.74,,-1.87,-0.18%,253.56%,-7.32%,,-15.14%,Healthcare,Biotechnology
PEN,"Penumbra, Inc.",9370281680,2015-09-18,-3.96%,-48.81%,17.35%,14.38%,15.98%,-63.22%,17.88%,14,,61.40%,35.60%,9.20%,0.13%,3.53%,2.20%,0.27%,2.50%,1.49%,5.82,3.05,5.52,16.44,-1.71%,8.31%,-0.92%,183.80%,16.96%,Healthcare,Medical Devices
PFGC,Performance Food Group Company,13696817550,2015-10-01,6.10%,20.41%,22.33%,4.80%,8.71%,110.53%,20.31%,10,131.40%,24.92%,14.16%,6.67%,0.99%,2.39%,3.20%,4.24%,1.26%,1.44%,1.70,0.67,4.12,5.44,0.27%,,13.12%,97.61%,2.23%,Consumer Staples,Food Distribution
SGRY,"Surgery Partners, Inc.",3030397760,2015-10-01,62.37%,23.28%,10.58%,10.00%,10.42%,5.13%,11.33%,8,75.70%,9.45%,7.22%,3.19%,10.94%,11.54%,-0.80%,,-1.52%,6.67%,1.80,1.33,10.10,0.83,0.66%,,18.17%,-11.06%,9.96%,Healthcare,Medical Care Facilities
NVCR,NovoCure Limited,2148871860,2015-10-02,32.74%,,12.42%,5.33%,13.60%,,1.92%,5,,,33.26%,5.65%,-27.51%,-25.63%,-12.70%,-15.33%,-5.92%,-6.83%,1.49,1.44,,0.65,6.11%,36.82%,14.51%,,14.63%,Healthcare,Medical Devices
PSTG,"Pure Storage, Inc.",17364399080,2015-10-07,28.59%,,16.04%,12.44%,15.78%,,20.28%,21,105.81%,67.06%,-13.76%,-32.66%,3.81%,10.01%,3.90%,5.42%,-6.78%,-9.39%,1.99,1.76,0.92,5.27,1.01%,25.19%,0.21%,20.21%,10.56%,Technology,Computer Hardware
ACRS,"Aclaris Therapeutics, Inc.",281437746,2015-10-07,76.90%,,40.74%,-18.27%,0.87%,,58.20%,6,,,,,-254.07%,-134.71%,-20.70%,-52.86%,-52.64%,-82.12%,7.03,6.81,,-2.74,-1.36%,189.09%,,,26.35%,Healthcare,Diagnostics & Research
